"seqid"	"type"	"start"	"end"	"strand"	"gene"	"gene_biotype"	"ID"	"Name"	"Parent"	"product"	"protein_id"
"42"	"U00096.3"	"gene"	17489	18655	"+"	"nhaA"	"protein_coding"	"gene-b0019"	"nhaA"	NA	NA	NA
"43"	"U00096.3"	"CDS"	17489	18655	"+"	"nhaA"	NA	"cds-AAC73130.1"	"AAC73130.1"	"gene-b0019"	"Na(+):H(+) antiporter NhaA"	"AAC73130.1"
"44"	"U00096.3"	"gene"	18715	19620	"+"	"nhaR"	"protein_coding"	"gene-b0020"	"nhaR"	NA	NA	NA
"45"	"U00096.3"	"CDS"	18715	19620	"+"	"nhaR"	NA	"cds-AAC73131.1"	"AAC73131.1"	"gene-b0020"	"DNA-binding transcriptional activator NhaR"	"AAC73131.1"
"46"	"U00096.3"	"mobile_genetic_element"	19796	20563	"-"	NA	NA	"id-U00096.3:19796..20563"	NA	NA	NA	NA
"47"	"U00096.3"	"gene"	19811	20314	"-"	"insB1"	"protein_coding"	"gene-b0021"	"insB1"	NA	NA	NA
"48"	"U00096.3"	"CDS"	19811	20314	"-"	"insB1"	NA	"cds-AAC73132.1"	"AAC73132.1"	"gene-b0021"	"IS1 family protein InsB"	"AAC73132.1"
"49"	"U00096.3"	"gene"	20233	20508	"-"	"insA1"	"protein_coding"	"gene-b0022"	"insA1"	NA	NA	NA
"50"	"U00096.3"	"CDS"	20233	20508	"-"	"insA1"	NA	"cds-AAC73133.1"	"AAC73133.1"	"gene-b0022"	"IS1 family protein InsA"	"AAC73133.1"
"51"	"U00096.3"	"gene"	20815	21078	"-"	"rpsT"	"protein_coding"	"gene-b0023"	"rpsT"	NA	NA	NA
"52"	"U00096.3"	"CDS"	20815	21078	"-"	"rpsT"	NA	"cds-AAC73134.1"	"AAC73134.1"	"gene-b0023"	"30S ribosomal subunit protein S20"	"AAC73134.1"
"53"	"U00096.3"	"gene"	21181	21399	"+"	"yaaY"	"protein_coding"	"gene-b0024"	"yaaY"	NA	NA	NA
"54"	"U00096.3"	"CDS"	21181	21399	"+"	"yaaY"	NA	"cds-AAC73135.1"	"AAC73135.1"	"gene-b0024"	"DUF2575 domain-containing protein YaaY"	"AAC73135.1"
"55"	"U00096.3"	"gene"	21407	22348	"+"	"ribF"	"protein_coding"	"gene-b0025"	"ribF"	NA	NA	NA
"56"	"U00096.3"	"CDS"	21407	22348	"+"	"ribF"	NA	"cds-AAC73136.1"	"AAC73136.1"	"gene-b0025"	"bifunctional riboflavin kinase/FMN adenylyltransferase"	"AAC73136.1"
"57"	"U00096.3"	"gene"	22391	25207	"+"	"ileS"	"protein_coding"	"gene-b0026"	"ileS"	NA	NA	NA
"58"	"U00096.3"	"CDS"	22391	25207	"+"	"ileS"	NA	"cds-AAC73137.1"	"AAC73137.1"	"gene-b0026"	"isoleucine--tRNA ligase"	"AAC73137.1"
"59"	"U00096.3"	"gene"	25207	25701	"+"	"lspA"	"protein_coding"	"gene-b0027"	"lspA"	NA	NA	NA
"60"	"U00096.3"	"CDS"	25207	25701	"+"	"lspA"	NA	"cds-AAC73138.1"	"AAC73138.1"	"gene-b0027"	"lipoprotein signal peptidase"	"AAC73138.1"
"61"	"U00096.3"	"gene"	25826	26275	"+"	"fkpB"	"protein_coding"	"gene-b0028"	"fkpB"	NA	NA	NA
"62"	"U00096.3"	"CDS"	25826	26275	"+"	"fkpB"	NA	"cds-AAC73139.1"	"AAC73139.1"	"gene-b0028"	"peptidyl-prolyl cis-trans isomerase FkpB"	"AAC73139.1"
"63"	"U00096.3"	"gene"	26277	27227	"+"	"ispH"	"protein_coding"	"gene-b0029"	"ispH"	NA	NA	NA
"64"	"U00096.3"	"CDS"	26277	27227	"+"	"ispH"	NA	"cds-AAC73140.1"	"AAC73140.1"	"gene-b0029"	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"	"AAC73140.1"
"65"	"U00096.3"	"gene"	27293	28207	"+"	"rihC"	"protein_coding"	"gene-b0030"	"rihC"	NA	NA	NA
"66"	"U00096.3"	"CDS"	27293	28207	"+"	"rihC"	NA	"cds-AAC73141.1"	"AAC73141.1"	"gene-b0030"	"ribonucleoside hydrolase RihC"	"AAC73141.1"
"67"	"U00096.3"	"gene"	28374	29195	"+"	"dapB"	"protein_coding"	"gene-b0031"	"dapB"	NA	NA	NA
"68"	"U00096.3"	"CDS"	28374	29195	"+"	"dapB"	NA	"cds-AAC73142.1"	"AAC73142.1"	"gene-b0031"	"4-hydroxy-tetrahydrodipicolinate reductase"	"AAC73142.1"
"69"	"U00096.3"	"gene"	29651	30799	"+"	"carA"	"protein_coding"	"gene-b0032"	"carA"	NA	NA	NA
"70"	"U00096.3"	"CDS"	29651	30799	"+"	"carA"	NA	"cds-AAC73143.1"	"AAC73143.1"	"gene-b0032"	"carbamoyl-phosphate synthetase small subunit"	"AAC73143.1"
"71"	"U00096.3"	"gene"	30817	34038	"+"	"carB"	"protein_coding"	"gene-b0033"	"carB"	NA	NA	NA
"72"	"U00096.3"	"CDS"	30817	34038	"+"	"carB"	NA	"cds-AAC73144.1"	"AAC73144.1"	"gene-b0033"	"carbamoyl-phosphate synthetase large subunit"	"AAC73144.1"
"73"	"U00096.3"	"gene"	34300	34695	"+"	"caiF"	"protein_coding"	"gene-b0034"	"caiF"	NA	NA	NA
"74"	"U00096.3"	"CDS"	34300	34695	"+"	"caiF"	NA	"cds-AAC73145.2"	"AAC73145.2"	"gene-b0034"	"DNA-binding transcriptional activator CaiF"	"AAC73145.2"
"75"	"U00096.3"	"gene"	34781	35371	"-"	"caiE"	"protein_coding"	"gene-b0035"	"caiE"	NA	NA	NA
"76"	"U00096.3"	"CDS"	34781	35371	"-"	"caiE"	NA	"cds-AAC73146.2"	"AAC73146.2"	"gene-b0035"	"putative transferase CaiE"	"AAC73146.2"
"77"	"U00096.3"	"gene"	35377	36162	"-"	"caiD"	"protein_coding"	"gene-b0036"	"caiD"	NA	NA	NA
"78"	"U00096.3"	"CDS"	35377	36162	"-"	"caiD"	NA	"cds-AAC73147.2"	"AAC73147.2"	"gene-b0036"	"crotonobetainyl-CoA hydratase"	"AAC73147.2"
"79"	"U00096.3"	"gene"	36271	37824	"-"	"caiC"	"protein_coding"	"gene-b0037"	"caiC"	NA	NA	NA
"80"	"U00096.3"	"CDS"	36271	37824	"-"	"caiC"	NA	"cds-AAC73148.2"	"AAC73148.2"	"gene-b0037"	"carnitine--CoA ligase"	"AAC73148.2"
"81"	"U00096.3"	"gene"	37898	39115	"-"	"caiB"	"protein_coding"	"gene-b0038"	"caiB"	NA	NA	NA
"82"	"U00096.3"	"CDS"	37898	39115	"-"	"caiB"	NA	"cds-AAC73149.1"	"AAC73149.1"	"gene-b0038"	"gamma-butyrobetainyl-CoA:carnitine CoA transferase"	"AAC73149.1"
"83"	"U00096.3"	"gene"	39244	40386	"-"	"caiA"	"protein_coding"	"gene-b0039"	"caiA"	NA	NA	NA
"84"	"U00096.3"	"CDS"	39244	40386	"-"	"caiA"	NA	"cds-AAC73150.1"	"AAC73150.1"	"gene-b0039"	"crotonobetainyl-CoA reductase"	"AAC73150.1"
"85"	"U00096.3"	"gene"	40417	41931	"-"	"caiT"	"protein_coding"	"gene-b0040"	"caiT"	NA	NA	NA
"86"	"U00096.3"	"CDS"	40417	41931	"-"	"caiT"	NA	"cds-AAC73151.1"	"AAC73151.1"	"gene-b0040"	"L-carnitine:gamma-butyrobetaine antiporter"	"AAC73151.1"
"87"	"U00096.3"	"gene"	42403	43173	"+"	"fixA"	"protein_coding"	"gene-b0041"	"fixA"	NA	NA	NA
"88"	"U00096.3"	"CDS"	42403	43173	"+"	"fixA"	NA	"cds-AAC73152.2"	"AAC73152.2"	"gene-b0041"	"putative electron transfer flavoprotein FixA"	"AAC73152.2"
"89"	"U00096.3"	"gene"	43188	44129	"+"	"fixB"	"protein_coding"	"gene-b0042"	"fixB"	NA	NA	NA
"90"	"U00096.3"	"CDS"	43188	44129	"+"	"fixB"	NA	"cds-AAC73153.1"	"AAC73153.1"	"gene-b0042"	"putative electron transfer flavoprotein FixB"	"AAC73153.1"
"91"	"U00096.3"	"gene"	44180	45466	"+"	"fixC"	"protein_coding"	"gene-b0043"	"fixC"	NA	NA	NA
"92"	"U00096.3"	"CDS"	44180	45466	"+"	"fixC"	NA	"cds-AAC73154.1"	"AAC73154.1"	"gene-b0043"	"putative oxidoreductase FixC"	"AAC73154.1"
"93"	"U00096.3"	"gene"	45463	45750	"+"	"fixX"	"protein_coding"	"gene-b0044"	"fixX"	NA	NA	NA
"94"	"U00096.3"	"CDS"	45463	45750	"+"	"fixX"	NA	"cds-AAC73155.1"	"AAC73155.1"	"gene-b0044"	"putative ferredoxin FixX"	"AAC73155.1"
"95"	"U00096.3"	"gene"	45807	47138	"+"	"yaaU"	"protein_coding"	"gene-b0045"	"yaaU"	NA	NA	NA
"96"	"U00096.3"	"CDS"	45807	47138	"+"	"yaaU"	NA	"cds-AAC73156.1"	"AAC73156.1"	"gene-b0045"	"putative transporter YaaU"	"AAC73156.1"
"97"	"U00096.3"	"gene"	47246	47776	"+"	"kefF"	"protein_coding"	"gene-b0046"	"kefF"	NA	NA	NA
"98"	"U00096.3"	"CDS"	47246	47776	"+"	"kefF"	NA	"cds-AAC73157.1"	"AAC73157.1"	"gene-b0046"	"regulator of KefC-mediated potassium transport and quinone oxidoreductase"	"AAC73157.1"
"99"	"U00096.3"	"gene"	47769	49631	"+"	"kefC"	"protein_coding"	"gene-b0047"	"kefC"	NA	NA	NA
"100"	"U00096.3"	"CDS"	47769	49631	"+"	"kefC"	NA	"cds-AAC73158.1"	"AAC73158.1"	"gene-b0047"	"K(+) : H(+) antiporter KefC"	"AAC73158.1"
"101"	"U00096.3"	"gene"	49823	50302	"+"	"folA"	"protein_coding"	"gene-b0048"	"folA"	NA	NA	NA
"102"	"U00096.3"	"CDS"	49823	50302	"+"	"folA"	NA	"cds-AAC73159.1"	"AAC73159.1"	"gene-b0048"	"dihydrofolate reductase"	"AAC73159.1"
"103"	"U00096.3"	"gene"	50380	51222	"-"	"apaH"	"protein_coding"	"gene-b0049"	"apaH"	NA	NA	NA
"104"	"U00096.3"	"CDS"	50380	51222	"-"	"apaH"	NA	"cds-AAC73160.1"	"AAC73160.1"	"gene-b0049"	"diadenosine tetraphosphatase"	"AAC73160.1"
"105"	"U00096.3"	"gene"	51229	51606	"-"	"apaG"	"protein_coding"	"gene-b0050"	"apaG"	NA	NA	NA
"106"	"U00096.3"	"CDS"	51229	51606	"-"	"apaG"	NA	"cds-AAC73161.1"	"AAC73161.1"	"gene-b0050"	"DUF525 domain-containing protein ApaG"	"AAC73161.1"
"107"	"U00096.3"	"gene"	51609	52430	"-"	"rsmA"	"protein_coding"	"gene-b0051"	"rsmA"	NA	NA	NA
"108"	"U00096.3"	"CDS"	51609	52430	"-"	"rsmA"	NA	"cds-AAC73162.1"	"AAC73162.1"	"gene-b0051"	"16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase"	"AAC73162.1"
"109"	"U00096.3"	"gene"	52427	53416	"-"	"pdxA"	"protein_coding"	"gene-b0052"	"pdxA"	NA	NA	NA
"110"	"U00096.3"	"CDS"	52427	53416	"-"	"pdxA"	NA	"cds-AAC73163.1"	"AAC73163.1"	"gene-b0052"	"4-hydroxythreonine-4-phosphate dehydrogenase"	"AAC73163.1"
"111"	"U00096.3"	"gene"	53416	54702	"-"	"surA"	"protein_coding"	"gene-b0053"	"surA"	NA	NA	NA
"112"	"U00096.3"	"CDS"	53416	54702	"-"	"surA"	NA	"cds-AAC73164.1"	"AAC73164.1"	"gene-b0053"	"chaperone SurA"	"AAC73164.1"
"113"	"U00096.3"	"gene"	54755	57109	"-"	"lptD"	"protein_coding"	"gene-b0054"	"lptD"	NA	NA	NA
"114"	"U00096.3"	"CDS"	54755	57109	"-"	"lptD"	NA	"cds-AAC73165.1"	"AAC73165.1"	"gene-b0054"	"lipopolysaccharide assembly protein LptD"	"AAC73165.1"
"115"	"U00096.3"	"gene"	57364	58179	"+"	"djlA"	"protein_coding"	"gene-b0055"	"djlA"	NA	NA	NA
"116"	"U00096.3"	"CDS"	57364	58179	"+"	"djlA"	NA	"cds-AAC73166.1"	"AAC73166.1"	"gene-b0055"	"co-chaperone protein DjlA"	"AAC73166.1"
"117"	"U00096.3"	"gene"	58474	59124	"+"	"yabP"	"protein_coding"	"gene-b0056"	"yabP"	NA	NA	NA
"118"	"U00096.3"	"CDS"	58474	59124	"+"	"yabP"	NA	"cds-AYC08162.1"	"AYC08162.1"	"gene-b0056"	"putative uncharacterized protein YabP"	"AYC08162.1"
"119"	"U00096.3"	"gene"	59121	59279	"+"	"yabQ"	"protein_coding"	"gene-b0057"	"yabQ"	NA	NA	NA
"120"	"U00096.3"	"CDS"	59121	59279	"+"	"yabQ"	NA	"cds-AYC08163.1"	"AYC08163.1"	"gene-b0057"	"protein YabQ"	"AYC08163.1"
"121"	"U00096.3"	"gene"	59687	60346	"-"	"rluA"	"protein_coding"	"gene-b0058"	"rluA"	NA	NA	NA
"122"	"U00096.3"	"CDS"	59687	60346	"-"	"rluA"	NA	"cds-AAC73169.1"	"AAC73169.1"	"gene-b0058"	"23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase"	"AAC73169.1"
"123"	"U00096.3"	"gene"	60358	63264	"-"	"rapA"	"protein_coding"	"gene-b0059"	"rapA"	NA	NA	NA
"124"	"U00096.3"	"CDS"	60358	63264	"-"	"rapA"	NA	"cds-AAC73170.1"	"AAC73170.1"	"gene-b0059"	"RNA polymerase-binding ATPase and RNAP recycling factor"	"AAC73170.1"
"125"	"U00096.3"	"gene"	63429	65780	"-"	"polB"	"protein_coding"	"gene-b0060"	"polB"	NA	NA	NA
"126"	"U00096.3"	"CDS"	63429	65780	"-"	"polB"	NA	"cds-AAC73171.1"	"AAC73171.1"	"gene-b0060"	"DNA polymerase II"	"AAC73171.1"
"127"	"U00096.3"	"gene"	65855	66550	"-"	"araD"	"protein_coding"	"gene-b0061"	"araD"	NA	NA	NA
"128"	"U00096.3"	"CDS"	65855	66550	"-"	"araD"	NA	"cds-AAC73172.1"	"AAC73172.1"	"gene-b0061"	"L-ribulose-5-phosphate 4-epimerase AraD"	"AAC73172.1"
"129"	"U00096.3"	"gene"	66835	68337	"-"	"araA"	"protein_coding"	"gene-b0062"	"araA"	NA	NA	NA
"130"	"U00096.3"	"CDS"	66835	68337	"-"	"araA"	NA	"cds-AAC73173.1"	"AAC73173.1"	"gene-b0062"	"L-arabinose isomerase"	"AAC73173.1"
"131"	"U00096.3"	"gene"	68348	70048	"-"	"araB"	"protein_coding"	"gene-b0063"	"araB"	NA	NA	NA
"132"	"U00096.3"	"CDS"	68348	70048	"-"	"araB"	NA	"cds-AAC73174.1"	"AAC73174.1"	"gene-b0063"	"ribulokinase"	"AAC73174.1"
"133"	"U00096.3"	"gene"	70387	71265	"+"	"araC"	"protein_coding"	"gene-b0064"	"araC"	NA	NA	NA
"134"	"U00096.3"	"CDS"	70387	71265	"+"	"araC"	NA	"cds-AAC73175.1"	"AAC73175.1"	"gene-b0064"	"DNA-binding transcriptional dual regulator AraC"	"AAC73175.1"
"135"	"U00096.3"	"gene"	71351	72115	"+"	"yabI"	"protein_coding"	"gene-b0065"	"yabI"	NA	NA	NA
"136"	"U00096.3"	"CDS"	71351	72115	"+"	"yabI"	NA	"cds-AAC73176.1"	"AAC73176.1"	"gene-b0065"	"DedA family protein YabI"	"AAC73176.1"
"137"	"U00096.3"	"gene"	72229	72927	"-"	"thiQ"	"protein_coding"	"gene-b0066"	"thiQ"	NA	NA	NA
"138"	"U00096.3"	"CDS"	72229	72927	"-"	"thiQ"	NA	"cds-AAC73177.1"	"AAC73177.1"	"gene-b0066"	"thiamine ABC transporter ATP binding subunit"	"AAC73177.1"
"139"	"U00096.3"	"gene"	72911	74521	"-"	"thiP"	"protein_coding"	"gene-b0067"	"thiP"	NA	NA	NA
"140"	"U00096.3"	"CDS"	72911	74521	"-"	"thiP"	NA	"cds-AAC73178.1"	"AAC73178.1"	"gene-b0067"	"thiamine ABC transporter membrane subunit"	"AAC73178.1"
"141"	"U00096.3"	"gene"	74497	75480	"-"	"thiB"	"protein_coding"	"gene-b0068"	"thiB"	NA	NA	NA
"142"	"U00096.3"	"CDS"	74497	75480	"-"	"thiB"	NA	"cds-AAC73179.1"	"AAC73179.1"	"gene-b0068"	"thiamine ABC transporter periplasmic binding protein"	"AAC73179.1"
"143"	"U00096.3"	"gene"	75516	75608	"-"	"sroA"	"ncRNA"	"gene-b4762"	"sroA"	NA	NA	NA
"144"	"U00096.3"	"ncRNA"	75516	75608	"-"	"sroA"	NA	"rna-b4762"	NA	"gene-b4762"	"small RNA SroA"	NA
"145"	"U00096.3"	"exon"	75516	75608	"-"	"sroA"	NA	"exon-b4762-1"	NA	"rna-b4762"	"small RNA SroA"	NA
"146"	"U00096.3"	"gene"	75644	77299	"-"	"sgrR"	"protein_coding"	"gene-b0069"	"sgrR"	NA	NA	NA
"147"	"U00096.3"	"CDS"	75644	77299	"-"	"sgrR"	NA	"cds-AAC73180.1"	"AAC73180.1"	"gene-b0069"	"DNA-binding transcriptional dual regulator SgrR"	"AAC73180.1"
"148"	"U00096.3"	"gene"	77367	77593	"+"	"sgrS"	"ncRNA"	"gene-b4577"	"sgrS"	NA	NA	NA
"149"	"U00096.3"	"ncRNA"	77367	77593	"+"	"sgrS"	NA	"rna-b4577"	NA	"gene-b4577"	"small regulatory RNA SgrS"	NA
"150"	"U00096.3"	"exon"	77367	77593	"+"	"sgrS"	NA	"exon-b4577-1"	NA	"rna-b4577"	"small regulatory RNA SgrS"	NA
"151"	"U00096.3"	"gene"	77388	77519	"+"	"sgrT"	"protein_coding"	"gene-b4662"	"sgrT"	NA	NA	NA
"152"	"U00096.3"	"CDS"	77388	77519	"+"	"sgrT"	NA	"cds-ACO59989.1"	"ACO59989.1"	"gene-b4662"	"PtsG glucose transporter inhibitor"	"ACO59989.1"
"153"	"U00096.3"	"gene"	77621	78799	"+"	"setA"	"protein_coding"	"gene-b0070"	"setA"	NA	NA	NA
"154"	"U00096.3"	"CDS"	77621	78799	"+"	"setA"	NA	"cds-AAT48123.1"	"AAT48123.1"	"gene-b0070"	"sugar exporter SetA"	"AAT48123.1"
"155"	"U00096.3"	"gene"	78848	79453	"-"	"leuD"	"protein_coding"	"gene-b0071"	"leuD"	NA	NA	NA
"156"	"U00096.3"	"CDS"	78848	79453	"-"	"leuD"	NA	"cds-AAC73182.1"	"AAC73182.1"	"gene-b0071"	"3-isopropylmalate dehydratase subunit LeuD"	"AAC73182.1"
"157"	"U00096.3"	"gene"	79464	80864	"-"	"leuC"	"protein_coding"	"gene-b0072"	"leuC"	NA	NA	NA
"158"	"U00096.3"	"CDS"	79464	80864	"-"	"leuC"	NA	"cds-AAC73183.1"	"AAC73183.1"	"gene-b0072"	"3-isopropylmalate dehydratase subunit LeuC"	"AAC73183.1"
"159"	"U00096.3"	"gene"	80867	81958	"-"	"leuB"	"protein_coding"	"gene-b0073"	"leuB"	NA	NA	NA
"160"	"U00096.3"	"CDS"	80867	81958	"-"	"leuB"	NA	"cds-AAC73184.2"	"AAC73184.2"	"gene-b0073"	"3-isopropylmalate dehydrogenase"	"AAC73184.2"
"161"	"U00096.3"	"gene"	81958	83529	"-"	"leuA"	"protein_coding"	"gene-b0074"	"leuA"	NA	NA	NA
"162"	"U00096.3"	"CDS"	81958	83529	"-"	"leuA"	NA	"cds-AAC73185.1"	"AAC73185.1"	"gene-b0074"	"2-isopropylmalate synthase"	"AAC73185.1"
"163"	"U00096.3"	"gene"	83622	83708	"-"	"leuL"	"protein_coding"	"gene-b0075"	"leuL"	NA	NA	NA
"164"	"U00096.3"	"CDS"	83622	83708	"-"	"leuL"	NA	"cds-AAC73186.1"	"AAC73186.1"	"gene-b0075"	"leu operon leader peptide"	"AAC73186.1"
"165"	"U00096.3"	"gene"	84368	85312	"+"	"leuO"	"protein_coding"	"gene-b0076"	"leuO"	NA	NA	NA
"166"	"U00096.3"	"CDS"	84368	85312	"+"	"leuO"	NA	"cds-AAC73187.2"	"AAC73187.2"	"gene-b0076"	"DNA-binding transcriptional dual regulator LeuO"	"AAC73187.2"
"167"	"U00096.3"	"gene"	85467	85511	"-"	"yabR"	"protein_coding"	"gene-b4726"	"yabR"	NA	NA	NA
"168"	"U00096.3"	"CDS"	85467	85511	"-"	"yabR"	NA	"cds-AYC08164.1"	"AYC08164.1"	"gene-b4726"	"protein YabR"	"AYC08164.1"
"169"	"U00096.3"	"gene"	85630	87354	"+"	"ilvI"	"protein_coding"	"gene-b0077"	"ilvI"	NA	NA	NA
"170"	"U00096.3"	"CDS"	85630	87354	"+"	"ilvI"	NA	"cds-AAC73188.2"	"AAC73188.2"	"gene-b0077"	"acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit"	"AAC73188.2"
"171"	"U00096.3"	"gene"	87357	87848	"+"	"ilvH"	"protein_coding"	"gene-b0078"	"ilvH"	NA	NA	NA
